Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
153283393,"Powerless (The Powerless Trilogy, #1)",Lauren  Roberts,"Roberts, Lauren",,"=""1665954884""","=""9781665954884""",4,4.15,Simon & Schuster Books for Young Readers,Kindle Edition,523,2023,2023,2025/02/14,2025/02/08,,,read,,,,1,0
176623687,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",4,4.20,Bloomsbury Publishing,Kindle Edition,451,2023,2014,,2025/01/26,,,read,,,,2,0
63490073,Icebreaker,Hannah  Grace,"Grace, Hannah",,"=""""","=""""",4,3.73,Atria Books,Kindle Edition,447,2022,2022,2025/01/31,2025/01/26,,,read,,,,1,0
213616461,"Skyshade (Lightlark, #3)",Alex Aster,"Aster, Alex",,"=""""","=""9798887075181""",4,3.67,Amulet Books,Kindle Edition,394,2024,2024,2025/01/25,2025/01/18,,,read,,,,1,0
202329680,"Leather & Lark (Ruinous Love, #2)",Brynne Weaver,"Weaver, Brynne",,"=""1638931801""","=""9781638931805""",4,4.00,Slowburn,Kindle Edition,409,2024,2024,2025/01/15,2025/01/08,,,read,,,,1,0
42098782,"When Stars Come Out (When Stars Come Out, #1)",Scarlett St.  Clair,"Clair, Scarlett St.",,"=""""","=""""",4,3.86,,Kindle Edition,389,2018,2018,2025/01/07,2024/12/30,,,read,,,,1,0
45416596,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",5,4.39,Washington Square Press,Kindle Edition,434,2017,2017,2024/12/30,2024/11/18,,,read,,,,1,0
18749279,"Fracture Me (Shatter Me, #2.5)",Tahereh Mafi,"Mafi, Tahereh",,"=""""","=""""",4,3.33,HarperCollins,Kindle Edition,72,2013,2013,2024/12/23,2024/12/22,,,read,,,,1,0
58410355,"Nightbane (Lightlark, #2)",Alex Aster,"Aster, Alex",,"=""""","=""""",4,4.08,Abrams,Kindle Edition,432,2023,2023,2024/12/22,2024/12/16,,,read,,,,1,0
123009515,"Two Twisted Crowns (The Shepherd King, #2)",Rachel Gillig,"Gillig, Rachel",,"=""0316312886""","=""9780316312882""",5,4.38,Orbit,Kindle Edition,458,2023,2023,2024/12/15,2024/12/12,,,read,,,,1,0
16126252,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062085565""","=""9780062085566""",5,4.10,HarperCollins,Kindle Edition,326,2013,2013,2024/12/11,2024/12/08,,,read,,,,1,0
13623150,"Destroy Me (Shatter Me, #1.5)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062208195""","=""9780062208194""",4,3.94,Harper,Kindle Edition,111,2012,2012,2024/12/08,2024/12/07,,,read,,,,1,0
37642300,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,"Mafi, Tahereh",,"=""""","=""""",5,3.84,HarperCollins,Kindle Edition,339,2017,2011,2024/12/07,2024/11/18,,,read,,,,1,0
30241301,"Wicked: Everyone Deserves the Chance to Fly (Wicked Years, #1)",Gregory Maguire,"Maguire, Gregory",,"=""""","=""""",4,3.50,William Morrow,Kindle Edition,406,2009,1995,2024/12/04,2024/11/30,,,read,,,,1,0
205901857,Prime Time Romance,Kate Robb,"Robb, Kate",,"=""0593596560""","=""9780593596562""",5,3.51,The Dial Press,Kindle Edition,321,2024,2024,2024/11/30,2024/11/18,,,read,,,,1,0
61317425,"Emily Wilde's Encyclopaedia of Faeries (Emily Wilde, #1)",Heather Fawcett,"Fawcett, Heather",,"=""""","=""""",4,3.96,Del Rey ,Kindle Edition,354,2023,2023,2024/11/28,2024/11/22,,,read,,,,1,0
123739932,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",,"=""""","=""""",5,4.16,Tor Books,Kindle Edition,434,2023,2020,2024/11/22,2024/11/15,,,read,,,,1,0
